customer_id,name,email,city,signup_date
1,Customer_1,customer1@email.com,Rio de Janeiro,2022-10-17
2,Customer_2,customer2@email.com,Salvador,2021-01-26
3,Customer_3,customer3@email.com,Niteroi,2021-10-09
4,Customer_4,customer4@email.com,Niteroi,2021-08-17
5,Customer_5,customer5@email.com,Rio de Janeiro,2023-01-25
6,Customer_6,customer6@email.com,Salvador,2022-11-24
7,Customer_7,customer7@email.com,Rio de Janeiro,2022-07-13
8,Customer_8,customer8@email.com,Belo Horizonte,2022-08-28
9,Customer_9,customer9@email.com,Rio de Janeiro,2021-02-02
10,Customer_10,customer10@email.com,Niteroi,2021-04-06
11,Customer_11,customer11@email.com,Curitiba,2021-08-27
12,Customer_12,customer12@email.com,Rio de Janeiro,2022-09-09
13,Customer_13,customer13@email.com,Niteroi,2022-07-29
14,Customer_14,customer14@email.com,Salvador,2023-01-04
15,Customer_15,customer15@email.com,Curitiba,2022-12-20
16,Customer_16,customer16@email.com,Niteroi,2022-03-06
17,Customer_17,customer17@email.com,Curitiba,2022-04-05
18,Customer_18,customer18@email.com,Brasilia,2021-10-12
19,Customer_19,customer19@email.com,Rio de Janeiro,2023-06-10
20,Customer_20,customer20@email.com,Brasilia,2023-02-17
21,Customer_21,customer21@email.com,Salvador,2021-06-13
22,Customer_22,customer22@email.com,Sao Paulo,2022-03-09
23,Customer_23,customer23@email.com,Niteroi,2021-10-12
24,Customer_24,customer24@email.com,Brasilia,2021-08-09
25,Customer_25,customer25@email.com,Rio de Janeiro,2021-12-11
26,Customer_26,customer26@email.com,Belo Horizonte,2021-04-05
27,Customer_27,customer27@email.com,Sao Paulo,2021-04-10
28,Customer_28,customer28@email.com,Sao Paulo,2023-05-18
29,Customer_29,customer29@email.com,Sao Paulo,2022-09-11
30,Customer_30,customer30@email.com,Rio de Janeiro,2023-04-07
31,Customer_31,customer31@email.com,Belo Horizonte,2023-01-18
32,Customer_32,customer32@email.com,Rio de Janeiro,2022-07-04
33,Customer_33,customer33@email.com,Rio de Janeiro,2022-01-23
34,Customer_34,customer34@email.com,Sao Paulo,2022-07-20
35,Customer_35,customer35@email.com,Salvador,2023-04-30
36,Customer_36,customer36@email.com,Brasilia,2022-09-26
37,Customer_37,customer37@email.com,Curitiba,2022-01-06
38,Customer_38,customer38@email.com,Salvador,2021-07-16
39,Customer_39,customer39@email.com,Rio de Janeiro,2021-03-13
40,Customer_40,customer40@email.com,Niteroi,2022-11-09
41,Customer_41,customer41@email.com,Sao Paulo,2023-03-03
42,Customer_42,customer42@email.com,Brasilia,2021-03-23
43,Customer_43,customer43@email.com,Brasilia,2021-08-27
44,Customer_44,customer44@email.com,Belo Horizonte,2021-04-14
45,Customer_45,customer45@email.com,Belo Horizonte,2021-10-12
46,Customer_46,customer46@email.com,Brasilia,2022-10-13
47,Customer_47,customer47@email.com,Niteroi,2022-01-09
48,Customer_48,customer48@email.com,Sao Paulo,2022-01-15
49,Customer_49,customer49@email.com,Salvador,2021-08-03
50,Customer_50,customer50@email.com,Salvador,2021-10-01
51,Customer_51,customer51@email.com,Salvador,2022-12-01
52,Customer_52,customer52@email.com,Curitiba,2021-03-15
53,Customer_53,customer53@email.com,Niteroi,2022-10-13
54,Customer_54,customer54@email.com,Salvador,2022-07-01
55,Customer_55,customer55@email.com,Niteroi,2021-09-08
56,Customer_56,customer56@email.com,Belo Horizonte,2022-04-19
57,Customer_57,customer57@email.com,Salvador,2021-10-04
58,Customer_58,customer58@email.com,Curitiba,2022-12-06
59,Customer_59,customer59@email.com,Salvador,2021-08-13
60,Customer_60,customer60@email.com,Brasilia,2021-11-29
61,Customer_61,customer61@email.com,Brasilia,2023-02-26
62,Customer_62,customer62@email.com,Niteroi,2021-02-27
63,Customer_63,customer63@email.com,Rio de Janeiro,2023-04-22
64,Customer_64,customer64@email.com,Sao Paulo,2023-04-05
65,Customer_65,customer65@email.com,Sao Paulo,2022-02-15
66,Customer_66,customer66@email.com,Niteroi,2021-03-09
67,Customer_67,customer67@email.com,Salvador,2022-08-04
68,Customer_68,customer68@email.com,Niteroi,2021-11-19
69,Customer_69,customer69@email.com,Belo Horizonte,2022-11-03
70,Customer_70,customer70@email.com,Salvador,2022-02-10
71,Customer_71,customer71@email.com,Niteroi,2022-04-15
72,Customer_72,customer72@email.com,Niteroi,2021-09-29
73,Customer_73,customer73@email.com,Salvador,2021-09-10
74,Customer_74,customer74@email.com,Curitiba,2022-07-29
75,Customer_75,customer75@email.com,Salvador,2021-09-27
76,Customer_76,customer76@email.com,Belo Horizonte,2022-08-22
77,Customer_77,customer77@email.com,Belo Horizonte,2022-08-21
78,Customer_78,customer78@email.com,Niteroi,2022-01-06
79,Customer_79,customer79@email.com,Curitiba,2021-05-22
80,Customer_80,customer80@email.com,Rio de Janeiro,2022-05-21
81,Customer_81,customer81@email.com,Rio de Janeiro,2023-02-13
82,Customer_82,customer82@email.com,Rio de Janeiro,2023-06-01
83,Customer_83,customer83@email.com,Salvador,2021-06-06
84,Customer_84,customer84@email.com,Brasilia,2021-06-13
85,Customer_85,customer85@email.com,Belo Horizonte,2022-11-28
86,Customer_86,customer86@email.com,Rio de Janeiro,2022-09-03
87,Customer_87,customer87@email.com,Belo Horizonte,2022-01-30
88,Customer_88,customer88@email.com,Belo Horizonte,2022-09-03
89,Customer_89,customer89@email.com,Sao Paulo,2022-06-26
90,Customer_90,customer90@email.com,Brasilia,2022-07-21
91,Customer_91,customer91@email.com,Salvador,2021-01-12
92,Customer_92,customer92@email.com,Rio de Janeiro,2023-01-09
93,Customer_93,customer93@email.com,Curitiba,2022-11-30
94,Customer_94,customer94@email.com,Sao Paulo,2023-02-08
95,Customer_95,customer95@email.com,Salvador,2023-02-27
96,Customer_96,customer96@email.com,Rio de Janeiro,2021-12-15
97,Customer_97,customer97@email.com,Belo Horizonte,2021-10-28
98,Customer_98,customer98@email.com,Belo Horizonte,2021-06-11
99,Customer_99,customer99@email.com,Salvador,2021-01-04
100,Customer_100,customer100@email.com,Salvador,2023-06-16
101,Customer_101,customer101@email.com,Curitiba,2021-09-27
102,Customer_102,customer102@email.com,Niteroi,2023-02-20
103,Customer_103,customer103@email.com,Rio de Janeiro,2022-06-04
